"","player_name","player_api_id","overall_rating","gk_rating","numofappearences","numofleagues"
"484","Alexandre Raineau",46342,65,57,44,1
"485","Alexandre Silva",571296,69,65,5,1
"486","Alexandros Tziolis",42321,72,51,38,3
"487","Alexandros Tzorvas",42306,71,350,12,1
"488","Alexandru Maxim",298923,76,50,49,1
"489","Alexei Jr Eremenko",41941,69,52,52,1
"490","Alexi Peuget",277443,66,50,13,1
"491","Alexis Alegue Elandi",687572,57,63,1,1
"492","Alexis Blin",605848,68,45,18,1
"493","Alexis De Sart",571681,57,63,1,1
"494","Alexis Norambuena Ruz",50657,64,48,131,1
"495","Alexis Rolin",281019,72,48,29,1
"496","Alexis Sanchez",50047,86,60,176,3
"497","Alexis Thebaux",26275,70,342,111,1
"498","Alexis",37479,75,60,173,1
"499","Alexy Bosetti",303089,71,49,20,1
"500","Alfonso Artabe",641042,60,41,7,1
"501","Alfonso De Lucia",27667,66,324,22,1
"502","Alfonso Pedraza",629594,69,51,2,1
"503","Alfonso Taira",280510,66,54,36,1
"504","Alfred Duncan",317156,73,39,59,1
"505","Alfred Finnbogason",129918,75,63,76,4
"506","Alfred N'Diaye",111801,77,56,107,3
"507","Alfredo Morales",239946,71,63,20,1
"508","Alfredo Ortuno",213649,66,65,2,1
"509","Alharbi El Jadeyaoui",46412,69,56,11,1
"510","Alhassan Wakaso",242889,71,59,66,1
"511","Alhassane Bangoura",256727,77,39,74,2
"512","Alhassane Keita",286117,65,50,12,1
"513","Alhassane Keita",41718,62,46,9,2
"514","Ali Adnan",476771,72,59,21,1
"515","Ali Ahamada",190741,70,340,131,1
"516","Ali Al-Habsi",25156,68,334,101,1
"517","Ali Boussaboun",25535,66,57,22,1
"518","Ali Ghazal",420224,75,55,90,1
"519","Ali M'Madi",211139,66,51,7,1
"520","Ali Messaoud",209371,67,54,29,2
"521","Ali Yasar",512728,57,41,1,1
"522","Alim Oezturk",261332,65,47,24,1
"523","Aliou Dia",166577,61,63,18,1
"524","Alioun Fall",610533,65,58,3,1
"525","Alireza Haghighi",167285,66,319,25,1
"526","Alireza Jahanbakhsh",466890,71,47,30,1
"527","Alistair Crawford",190493,65,63,75,1
"528","Aljaz Struna",169752,67,41,22,1
"529","Alje Schut",26503,67,43,61,1
"530","Allan McGregor",32496,74,370,187,2
"531","Allan Nyom",213809,77,52,163,2
"532","Allan Russell",24364,63,135,11,1
"533","Allan Saint-Maximin",466482,66,45,3,2
"534","Allan",188652,80,44,128,1
"535","Allan",676625,63,44,3,1
"536","Almamy Toure",563216,69,52,13,1
"537","Almeida Anderson do Oliveira",95681,68,50,40,1
"538","Almeida Borges Leandro",128851,59,36,1,1
"539","Almen Abdi",25816,72,42,67,4
"540","Almog Cohen",174093,70,45,42,1
"541","Alois Confais",634113,56,53,13,1
"542","Alou Diarra",39978,74,58,135,2
"543","Aloys Nong",17276,68,46,56,1
"544","Alpaslan Ozturk",254455,67,49,35,1
"545","Alphonse Areola",210164,80,394,68,2
"546","Alphousseyni Keita",94021,66,57,38,2
"547","Altin Lala",27351,67,38,11,1
"548","Alvarinho",264743,64,51,21,1
"549","Alvaro Ampuero",299653,60,47,4,1
"550","Alvaro Anton",46211,68,51,4,1
"551","Alvaro Arbeloa",37442,76,51,158,2
"552","Alvaro Arroyo",201916,68,50,29,1
